user_id,product_id,interaction_type,timestamp
136,156,view,2023-01-01 00:00:00.000000000
296,232,like,2023-01-01 01:16:11.017101710
412,380,click,2023-01-01 02:32:22.034203420
709,407,click,2023-01-01 03:48:33.051305130
534,358,like,2023-01-01 05:04:44.068406840
474,488,view,2023-01-01 06:20:55.085508550
681,187,like,2023-01-01 07:37:06.102610261
263,169,like,2023-01-01 08:53:17.119711971
707,292,like,2023-01-01 10:09:28.136813681
954,144,view,2023-01-01 11:25:39.153915391
963,143,view,2023-01-01 12:41:50.171017101
122,179,click,2023-01-01 13:58:01.188118811
580,324,click,2023-01-01 15:14:12.205220522
985,461,like,2023-01-01 16:30:23.222322232
647,198,view,2023-01-01 17:46:34.239423942
564,100,view,2023-01-01 19:02:45.256525652
769,102,like,2023-01-01 20:18:56.273627362
133,211,view,2023-01-01 21:35:07.290729072
862,390,view,2023-01-01 22:51:18.307830783
865,431,view,2023-01-02 00:07:29.324932493
463,327,view,2023-01-02 01:23:40.342034203
931,46,view,2023-01-02 02:39:51.359135913
292,150,view,2023-01-02 03:56:02.376237623
835,209,view,2023-01-02 05:12:13.393339333
555,73,like,2023-01-02 06:28:24.410441044
30,285,like,2023-01-02 07:44:35.427542754
564,105,view,2023-01-02 09:00:46.444644464
52,129,like,2023-01-02 10:16:57.461746174
581,383,view,2023-01-02 11:33:08.478847884
189,484,like,2023-01-02 12:49:19.495949594
509,15,view,2023-01-02 14:05:30.513051305
905,331,click,2023-01-02 15:21:41.530153015
487,115,like,2023-01-02 16:37:52.547254725
271,448,view,2023-01-02 17:54:03.564356435
319,440,like,2023-01-02 19:10:14.581458145
671,84,click,2023-01-02 20:26:25.598559855
159,92,click,2023-01-02 21:42:36.615661566
709,387,like,2023-01-02 22:58:47.632763276
163,206,click,2023-01-03 00:14:58.649864986
515,312,view,2023-01-03 01:31:09.666966696
395,321,like,2023-01-03 02:47:20.684068406
751,51,view,2023-01-03 04:03:31.701170117
377,385,like,2023-01-03 05:19:42.718271827
696,228,click,2023-01-03 06:35:53.735373537
10,72,view,2023-01-03 07:52:04.752475247
567,79,like,2023-01-03 09:08:15.769576957
638,452,like,2023-01-03 10:24:26.786678667
195,393,view,2023-01-03 11:40:37.803780378
911,117,view,2023-01-03 12:56:48.820882088
44,189,like,2023-01-03 14:12:59.837983798
829,85,like,2023-01-03 15:29:10.855085508
843,362,view,2023-01-03 16:45:21.872187218
451,455,like,2023-01-03 18:01:32.889288928
